,Mutual Information Score,Rand Score,Silhouette Score
Kmeans,1.47692425521467,0.957637328339576,0.22890954496507346
Spectral Clustering,1.50571083509162,0.962952559300874,0.22768382462981648
Gaussian Mixture Labelling,1.47692425521467,0.957637328339576,0.22890954496507346
Mini Batch Kmeans,1.31613756652652,0.925365168539326,0.20229536056279784
